# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
6,13,0,1.055426759984787e-10,1.113925645691986e-20,1
6,14,0,2.543720820532081e-10,6.470515612808405e-20,1
6,15,0,0,0,0
6,16,0,0,0,0
6,17,0,3.463905610763438e-10,1.199864208027843e-19,1
6,18,0,0,0,0
6,19,0,0,0,0
6,20,0,0,0,0
6,21,0,0,0,0
6,22,0,0,0,0
6,23,0,0,0,0
6,24,0,0,0,0
6,25,0,0,0,0
6,26,0,0,0,0
6,27,0,3.055615842968923e-11,9.336788179802683e-22,1
6,28,0,0,0,0
6,29,0,0,0,0
6,30,0,4.291224063783801e-09,1.841460396559715e-17,1
6,31,0,1.361524734263832e-09,1.853749602012197e-18,1
6,32,0,0,0,0
6,33,0,0,0,0
6,34,0,0,0,0
6,35,0,0,0,0
6,36,0,0,0,0
6,37,0,0,0,0
6,38,0,0,0,0
6,39,0,0,0,0
6,40,0,0,0,0
6,41,0,0,0,0
6,42,0,0,0,0
6,43,0,0,0,0
6,44,0,0,0,0
6,45,0,0,0,0
6,46,0,0,0,0
6,47,0,0,0,0
6,48,0,0,0,0
6,49,0,0,0,0
6,50,0,0,0,0
7,0,0,0,0,0
7,1,0,0,0,0
7,2,0,0,0,0
7,3,0,0,0,0
7,4,0,0,0,0
7,5,0,0,0,0
7,6,0,7.203770116538984e-08,5.189430389194009e-15,1
7,7,0,0,0,0
7,8,0,0,0,0
7,9,0,0,0,0
7,10,0,0,0,0
7,11,0,0,0,0
7,12,0,0,0,0
7,13,0,0,0,0
7,14,0,0,0,0
7,15,0,0,0,0
7,16,0,0,0,0
7,17,0,0,0,0
7,18,0,0,0,0
7,19,0,0,0,0
7,20,0,2.634151522295559e-10,6.938754242412011e-20,1
7,21,0,0,0,0
7,22,0,1.113190624861689e-10,1.239193367279957e-20,1
7,23,0,0,0,0
7,24,0,1.108055211740499e-10,1.227786352265282e-20,1
7,25,0,0,0,0
7,26,0,0,0,0
7,27,0,0,0,0
7,28,0,0,0,0
7,29,0,0,0,0
7,30,0,5.232468733083089e-09,2.726166911761153e-17,2
7,31,0,1.154447248147689e-08,1.332748448755772e-16,1
7,32,0,0,0,0
7,33,0,0,0,0
7,34,0,0,0,0
7,35,0,0,0,0
7,36,0,0,0,0
7,37,0,0,0,0
7,38,0,0,0,0
7,39,0,0,0,0
7,40,0,0,0,0
7,41,0,0,0,0
7,42,0,0,0,0
7,43,0,0,0,0
7,44,0,0,0,0
7,45,0,0,0,0
7,46,0,0,0,0
7,47,0,0,0,0
7,48,0,0,0,0
7,49,0,0,0,0
7,50,0,1.120993323334146e-11,1.256626030959733e-22,1
8,0,0,1.18033512602663e-11,1.260147480506527e-22,2
8,1,0,0,0,0
8,2,0,0,0,0
8,3,0,0,0,0
8,4,0,0,0,0
8,5,0,0,0,0
8,6,0,0,0,0
8,7,0,0,0,0
8,8,0,0,0,0
8,9,0,0,0,0
8,10,0,0,0,0
8,11,0,0,0,0
8,12,0,0,0,0
8,13,0,0,0,0
8,14,0,0,0,0
8,15,0,0,0,0
8,16,0,0,0,0
8,17,0,0,0,0
8,18,0,0,0,0
8,19,0,0,0,0
8,20,0,0,0,0
8,21,0,0,0,0
8,22,0,0,0,0
8,23,0,3.727044398485545e-11,1.389085994828248e-21,1
8,24,0,0,0,0
8,25,0,0,0,0
