name,ekin_MeV,posX_mm,posY_mm,posZ_mm,momX,momY,momZ,process
e-,0.00272162,-0.435391,-1.52874,-57.4831,-0.518406,0.848935,0.102789,eIoni
gamma,0.03153,-6.30113,2.94411,-25.9174,-0.777576,0.623908,-0.0782007,eBrem
e-,0.00135937,-10.8862,6.62303,-26.3785,-0.23279,0.678274,-0.69696,compt
e-,0.000617645,-15.9859,6.03039,-20.1682,-0.687732,-0.703747,-0.178228,compt
e-,0.00475334,3.39983,2.10178,-73.0729,-0.443606,0.72068,0.532761,eIoni
e-,0.0181526,5.74255,3.53329,-72.7823,0.132786,0.523177,0.841816,eIoni
e-,0.00213612,18.9966,8.89122,-80.1814,-0.350116,0.44138,-0.826197,eIoni
e-,0.00354568,27.4534,12.1397,-80.1072,0.338121,0.790023,-0.511407,eIoni
e-,0.0033834,38.3701,12.2387,-76.1708,-0.182241,-0.298726,-0.936777,eIoni
e-,0.00591618,40.7935,11.2664,-76.3214,0.476264,-0.545717,0.689467,eIoni
e-,0.00134308,41.5106,11.3559,-77.0281,-0.931744,0.107554,-0.346822,eIoni
gamma,0.888012,0.103755,-0.0247861,-47.2194,0.207615,0.199196,0.957714,eBrem
gamma,0.126987,1.04366,0.98339,-43.839,0.221674,0.31984,0.921175,eBrem
gamma,0.00801019,3.0294,5.3606,-34.4491,0.298588,-0.509461,0.807028,eBrem
e-,0.446726,2.22823,3.89285,-30.465,-0.397634,-0.26755,0.87767,eIoni
e-,0.00747219,3.18414,5.09657,-34.0308,-0.0207911,0.170439,-0.985149,phot
e-,0.0420976,17.4937,24.7181,24.5195,0.125938,0.315546,0.940516,compt
e-,0.00178093,18.2299,17.0529,-0.857671,0.82228,-0.569002,0.00963861,compt
e-,0.0145902,4.00956,17.9982,-39.9283,-0.511973,0.465972,-0.721632,compt
e-,0.000161916,4.69409,16.8629,-39.6873,-0.157938,-0.244185,-0.956781,compt
e-,0.00537804,8.92887,9.94939,-35.9307,-0.340416,-0.688988,0.639854,compt
e-,0.202687,11.1363,10.5604,3.67296,0.676518,0.623119,0.392487,compt
