name, ekin_MeV, posX_mm, posY_mm, posZ_mm,momX, momY, momZ, process
e-,0.00349629,-0.0445218,0.0212615,-92.9013,-0.723778,-0.690033,-0.000141519,eIoni
e-,0.00166717,0.00106792,0.000386823,-90.5413,0.0206352,-0.0357092,-0.00238042,eIoni
gamma,0.0320321,-0.0398623,0.414349,-44.4846,-0.00853902,-0.00478481,0.0305,eBrem
gamma,0.0805559,-3.00968,8.07138,-29.4653,-0.0573472,0.0405438,0.0394557,eBrem
e-,0.00166717,0.00106792,0.000386823,-90.5413,0.499505,-0.864393,-0.0576215,eIoni
gamma,0.0320321,-0.0398623,0.414349,-44.4846,-0.266577,-0.149375,0.952168,eBrem
gamma,0.0805559,-3.00968,8.07138,-29.4653,-0.711893,0.5033,0.489793,eBrem
e-,0.000110127,-17.3201,18.1887,-19.6195,0.00582193,0.00666626,-0.00585044,compt
e-,0.000110127,-17.3201,18.1887,-19.6195,0.548747,0.628329,-0.551434,compt
e-,0.0314941,-7.72575,-3.89241,-17.0319,-0.178772,0.0325592,0.0126246,phot
e-,0.0314941,-7.72575,-3.89241,-17.0319,-0.98145,0.178749,0.0693089,phot
e-,0.00194489,0.156799,-0.141098,-71.7687,0.020714,0.0395227,0.000585709,eIoni
gamma,0.00391458,-1.60659,-1.62324,-34.1568,-0.00306554,-0.00068816,0.00233514,eBrem
e-,0.00194489,0.156799,-0.141098,-71.7687,0.464172,0.885648,0.0131249,eIoni
gamma,0.00391458,-1.60659,-1.62324,-34.1568,-0.783108,-0.175794,0.596523,eBrem
e-,0.00337658,-1.71984,-1.58521,-34.2261,0.046735,-0.0333623,-0.0128473,phot
e-,0.00337658,-1.71984,-1.58521,-34.2261,0.79426,-0.566992,-0.21834,phot
gamma,0.0232451,-2.64499,-1.15957,-38.8642,-0.00683844,-0.00478407,0.0216953,eBrem
e-,0.35906,-6.8593,-6.28077,-26.9398,-0.517494,-0.453381,0.150095,eIoni
gamma,0.0232451,-2.64499,-1.15957,-38.8642,-0.294188,-0.20581,0.933325,eBrem
e-,0.35906,-6.8593,-6.28077,-26.9398,-0.734879,-0.643834,0.213146,eIoni
e-,0.0227071,-28.1562,-19.0068,42.0712,0.0302814,-0.0134952,0.15041,phot
e-,0.0227071,-28.1562,-19.0068,42.0712,0.196606,-0.0876194,0.97656,phot
e-,0.00180169,0.00500895,-0.0130949,-96.401,-0.00677918,-0.0424005,0.00090054,eIoni
e-,0.0200989,0.207432,-0.0734799,-80.8577,0.00789868,-0.143591,0.0162528,eIoni
e-,0.00341655,0.905605,0.175222,-52.4034,0.0548853,-0.0220659,0.00201887,eIoni
e-,1.27541,0.498161,-0.387855,-43.0385,0.394372,0.623108,1.54478,eIoni
e-,0.00180169,0.00500895,-0.0130949,-96.401,-0.157844,-0.987241,0.0209679,eIoni
e-,0.0200989,0.207432,-0.0734799,-80.8577,0.0545776,-0.992174,0.112302,eIoni
e-,0.00341655,0.905605,0.175222,-52.4034,0.927284,-0.372801,0.0341087,eIoni
e-,1.27541,0.498161,-0.387855,-43.0385,0.230389,0.364014,0.902449,eIoni
e-,0.00206598,2.09991,-5.68385,-81.5919,0.0239662,-0.0366375,-0.0141073,eIoni
e-,0.00196224,2.09541,-5.84297,-81.3494,0.0154025,0.00628967,0.0416228,eIoni
e-,0.00206598,2.09991,-5.68385,-81.5919,0.521042,-0.796524,-0.306702,eIoni
e-,0.00196224,2.09541,-5.84297,-81.3494,0.343616,0.140317,0.928568,eIoni
gamma,0.0225026,0.70588,2.38152,-41.8058,0.00100854,0.00672085,0.0214518,eBrem
e-,0.428151,-4.95384,12.1302,-28.7547,0.54196,0.356752,-0.44709,eIoni
gamma,0.0225026,0.70588,2.38152,-41.8058,0.0448188,0.298671,0.953303,eBrem
e-,0.428151,-4.95384,12.1302,-28.7547,0.687801,0.452754,-0.567401,eIoni
e-,0.0219646,1.1384,5.26381,-32.6061,-0.104115,0.10691,-0.0256978,phot
e-,0.0219646,1.1384,5.26381,-32.6061,-0.687561,0.706018,-0.169704,phot
e-,0.00464864,-0.499734,-0.127326,-53.3065,-0.025343,0.063963,0.00624331,eIoni
e-,0.501278,4.87927,-11.607,-31.2552,-0.723015,-0.458061,0.176111,eIoni
e-,0.00464864,-0.499734,-0.127326,-53.3065,-0.366847,0.925881,0.0903736,eIoni
e-,0.501278,4.87927,-11.607,-31.2552,-0.827405,-0.524197,0.201538,eIoni
e-,0.45216,-0.10942,-0.0537335,-47.3004,-0.634728,-0.159783,0.488002,eIoni
